question,context
Apa saja Pelanggaran dan Sanksi yang diberlakukan oleh LPDP?,Pelanggaran dan sanksi: 1. Pendaftar yang melakukan kecurangan dikategorikan sebagai pelanggaran ketentuan dan persyaratan seleksi. 2. Pendaftar yang melanggar ketentuan akan digugurkan dan tidak dapat mengikuti tahapan seleksi berikutnya. 3. Pendaftar yang memberikan informasi atau dokumen yang tidak benar atau palsu akan dikenakan sanksi administratif berat berupa pemberhentian sebagai penerima beasiswa dengan kewajiban pengembalian dana studi yang telah diterima dan pemblokiran untuk mengikuti program LPDP di masa mendatang.
Apa ketentuan pengabdian yang ditetapkan LPDP?,Ketentuan pengabdian: 1. Penerima Beasiswa wajib kembali dan mengabdi di Indonesia setelah selesai studi. 2. Kembali ke Indonesia dan berkontribusi selama 2 kali masa studi ditambah 1 tahun (2N+1).
"Bagaimana cara menulis format komitmen kembali ke Indonesia, rencana pasca studi, dan rencana kontribusi di Indonesia?","Format komitmen kembali ke Indonesia, rencana pasca studi, dan rencana kontribusi di Indonesia (1500 – 2000 kata): Deskripsikan tema secara jelas dan konkret tentang komitmen kembali ke Indonesia, rencana pasca studi, dan rencana kontribusi di Indonesia."
Apa yang dimaksud dengan Letter of Admission/Acceptance (LoA)?,"Letter of Admission/Acceptance (LoA) adalah surat resmi dari perguruan tinggi yang menyatakan bahwa seseorang telah diterima sebagai mahasiswa. LoA sekurang-kurangnya mencantumkan nama lengkap, jenjang studi, program studi, dan memuat informasi waktu memulai studi."
Apa yang harus dilakukan jika pendaftar menyertakan LoA yang tidak sesuai dengan ketentuan?,"Jika pendaftar menyertakan LoA yang tidak sesuai dengan ketentuan LPDP, maka dianggap tidak memenuhi kriteria pendaftaran. Pendaftar wajib melampirkan surat keterangan penundaan jadwal perkuliahan dari perguruan tinggi yang diunggah bersamaan dengan LoA."
Apa saja bidang studi yang termasuk dalam program Beasiswa Prioritas LPDP – Campus France Program Master?,"Bidang studi termasuk: Blue Economy, Creative Industry, Digital / Information Technologies, Energy, Engineering, Entrepreneurship, Governance, Green Economy, Health, Maritime, Material Sciences, Urban Planning."
Apa saja program studi dalam bidang Blue Economy yang termasuk dalam Beasiswa Prioritas LPDP – Campus France Program Master?,"Program studi Blue Economy: Master on Ship Operation Naval Engineering, Master in Marine Technology - Hydrodynamics for Ocean Engineering, MSc Marine Technology Atlantic Master on Ship Operation & Naval Engineering (M-TECHAMASONE)."
Apa saja program studi dalam bidang Creative Industry yang termasuk dalam Beasiswa Prioritas LPDP – Campus France Program Master?,"Program studi Creative Industry: MDes International Design Strategy / Le Studio France, MSc Fashion, Design and Luxury Management (MSc FDLM), Master in Communications, Media and Creative Industries, MSc Creative Music and Sound Design for Visual Media Scoring, Master of Arts in Character Animation and Animated Filmmaking."
Apa saja program studi dalam bidang Digital / Information Technologies yang termasuk dalam Beasiswa Prioritas LPDP – Campus France Program Master?,"Program studi Digital / Information Technologies: Master in Telecommunications and Networks, Master of Science in Informatics, Master in Internet of Things (IOT), MSc in Computer Science, major in Data Science, MSc Information Technology / Track Architecture and Engineering for the Internet of Things, MSc Information technology / Track Data science, Master Cybersecurity, MSc Data Analytics for Business, Master in Computer Vision (VIBOT), Master in Physics & Computational Physics (CompuPhys)."
Apa saja program studi dalam bidang Energy yang termasuk dalam Beasiswa Prioritas LPDP – Campus France Program Master?,"Program studi Energy: Master Solar Energy, Law, Economics and Management (SoLEM), Master Nuclear Energy, Master Nuclear Energy, Master's Degree - Fundamental Physics: International Centre for Fundamental Physics (ICFP), Master MaNuEn - International master Program in Material Sciences for Nuclear Energy, International Master's Degree in Transport and Energy, Master Energy for Solar Buildings and Cities."
Apa saja program studi dalam bidang Engineering yang termasuk dalam Beasiswa Prioritas LPDP – Campus France Program Master?,"Program studi Engineering: MSc Nuclear Engineering / Track Advanced Nuclear Waste Management, MSc Nuclear Engineering / Track Nuclear Energy Production and Industrial Applications, Master of Science in Water Engineering and Water Management, Master Industrial Biotechnology for a Bio-Based Economy (BioTechEco), Master in Control and Robotics - Embedded Real Time Systems, Master Biotecnologies track Life sciences and technologies."
Apa yang dimaksud dengan Poin-Poin Surat Pernyataan pada Aplikasi Pendaftaran?,"Poin-Poin Surat Pernyataan: Setia kepada Pancasila, Negara Kesatuan Republik Indonesia, dan UUD 1945. Tidak terlibat dalam gerakan yang bertentangan dengan Pancasila. Mendahulukan kepentingan Bangsa. Tidak akan berpindah kewarganegaraan. Tidak akan menerima beasiswa double funding. Tidak menyebarkan informasi yang belum terkonfirmasi. Tidak terlibat dalam tindak pidana."
Bagaimana format penulisan dan informasi tambahan yang diperlukan dalam aplikasi pendaftaran Beasiswa Prioritas LPDP – Campus France Program Master?,"Format penulisan dan informasi tambahan: Menulis profil diri termasuk riwayat pendidikan yang tidak diselesaikan. Menulis komitmen kembali ke Indonesia, rencana pasca studi, dan rencana kontribusi di Indonesia. Jika memiliki publikasi ilmiah, prestasi kejuaraan/non kejuaraan, dan pengalaman organisasi, diisi dalam aplikasi pendaftaran."
