Question,Expected Answer
Mengapa penting untuk mengunggah kegiatan mahasiswa di myITS StudentConnect? ,"Karena bukti atau dokumen pendukung kegiatan SKEM harus diunggah di myITS StudentConnect dalam waktu satu tahun semenjak selesai kegiatan, jika melebihi batas waktu tersebut, kegiatan dinyatakan tidak berlaku."
Sebutkan salah satu dasar hukum perubahan peraturan ini.,Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi.
Apa yang terjadi jika mahasiswa tidak membayar UKT atau SPP? ,"Status mahasiswa dinyatakan tidak aktif dan jika tidak membayar selama 2 semester berturut-turut, dinyatakan mengundurkan diri."
Apa saja peran Penanggung Jawab Fakultas atau Prodi dalam program MBKM?,"Penanggung Jawab Fakultas atau Prodi bertugas melakukan verifikasi data dan dokumen mahasiswa, memberikan rekomendasi kepada mahasiswa untuk mengikuti Program MBKM, dan melakukan koordinasi jika ada data yang perlu diperbaiki."
Bagaimana penilaian prestasi mahasiswa dilakukan oleh mitra magang?,"Mitra magang memberikan penilaian berdasarkan formulir penilaian yang meliputi aspek-aspek seperti inisiatif, kemampuan komunikasi, disiplin, penampilan, ketekunan, kemampuan teknikal, berpikir kritis, kemampuan bekerjasama, kemampuan beradaptasi, dan hasil pekerjaan (kontribusi), yang kemudian diserahkan ke departemen untuk verifikasi."
"Proyek P13 ""Application of Novel Snap-shot based Hyperspectral Imaging Combined with AI to Detect Lesions"" menggunakan metode apa?","Proyek ini menggunakan model pembelajaran mesin seperti YOLOv5, YOLOv8, R-CNN, dan Faster R-CNN untuk mendeteksi kanker esofagus stadium awal menggunakan model gambar cahaya putih (WLI) dan gambar narrowband hiperspektral (HSI-NBI)."
"Apa yang akan dikembangkan dalam proyek P16 ""Next Generation Wireless Communication, B5G/6G, Reconfigurable Intelligent Surface, System Level Simulation, Artificial Intelligence-enhanced Wireless Research""? ","Proyek ini berfokus pada inovasi dan desain konsep-konsep canggih dan arsitektur di luar 5G dan 6G, mengidentifikasi dan memvalidasi solusi untuk masalah kunci melalui simulasi atau eksperimen prototipe, serta merancang algoritma, model, dan protokol baru untuk mengoptimalkan kinerja jaringan nirkabel."
Bagaimana cara menghubungi penyelenggara program internship ini?,"Kontak dapat dilakukan melalui nomor +886-5-2720411 ext. 23003, 23005, atau email coleng_dia@ccu.edu.tw. Alamatnya adalah No.168, Sec. 1, University Rd., Minhsiung, Chiayi 621301, Taiwan (R.O.C.)."
Apa yang harus dilakukan jika ingin menghapus atau menarik artikel yang telah diunggah?,"Isi form di link: https://its.id/FHAJTeknikITS untuk Jurnal Teknik, https://its.id/FHAJSainsSeniITS untuk Jurnal Sains & Seni, atau https://its.id/FHAJRepositoryITS untuk Repository."
Apa yang terjadi dengan artikel yang tidak memenuhi ketentuan publikasi?,Artikel tersebut tidak akan dipublikasikan di Jurnal Teknik ITS dan Jurnal Sains & Seni ITS.
