,question,ground_truth,contexts,answer
10,Berapa jumlah SKS untuk mata kuliah Kalkulus 1 di Semester IUP?,Mata kuliah Kalkulus 1 di Semester IUP memiliki 3 SKS.,"['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'BAB V BENTUK APRESIASI\n\nPasal 8\n(1) Apresiasi Lomba Kementerian dan        Lomba Mandiri bagi dosen Pembimbing kompetisi yang diikuti oleh Mahasiswa yang meraih medali/juara berupa:\na. piagam/ sertifikat atau t.anda jasa;\nb. angka kredit kepegawaian (Kum B) untuk Beban Kerja Dosen (BKD) yang terintegrasi dengan sistem informasi kepegawaian ITS; dan/atau\nc. reward sesuai dengan SBI.\n(2) Apresiasi Lomba Kementerian dan Lomba Mandiri bagi Mahasiswa berupa:\na. reward sesuai dengan SBI;\nb. konversi nilai akademik (SKS) untuk setiap lomba yang diputuskan oleh tim\nreviewer Departemen;\nc. konversi nilai Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) untuk setiap lomba yang diputuskan oleh tim review direktorat yang mengurusi kemahasiswaan;dan/atau\nd. beasiswa Magister di seluruh program studi yang ada di ITS selama waktu\nyang ditentukan.\n(3) Setiap perolehan medali/juara di setiap kompetisi sebagaimana disebutkan dalam Pasal 6 ayat (2) juga mendapatkan apresiasi berupa nominal uang.', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'Bagian Kedua\nSyarat Prestasi Lomba Mandiri\n\nPasal 5\n(1) Syarat untuk Mahasiswa:\na. Mahasiswa aktif yang terdaftar di sistem akademik ITS;\nb. memiliki surat tugas dari direktorat yang mengurusi kemahasiswaan/dekan untuk mengikuti kompetisi tersebut; dan\nc. Mahasiswa yang mendapatkan Apresiasi adalah juara 1, juara 2, juara 3,\ndan Finalis pada kegiatan kompetisi dan kewirausahaan yang melibatkan ilmu pengetahuan, teknologi, olahraga dan seni yang diadakan oleh Kementerian atau Lomba Mandiri bereputasi dengan skala nasional ataupun internasional dibuktikan dengan sertifikat.\n(2) Syarat untuk Pembimbing:\na. dosen aktifyang ada di ITS;\nb. dosen yang mempunyai Surat Keputusan Rektor sebagai Pembimbing kegiatan kompetisi kemahasiswaan; dan\nc. telah        melakukan        verifikasi        prestasi        anak        bimbingnya        di        myITS\nStudentConnect.\n\nBagian Ketiga Tingkat Prestasi']",Saya tidak tahu.
11,Apa kode departemen untuk mata kuliah Fisika Dasar di Semester Regular? ,Mata kuliah Fisika Dasar di Semester Regular memiliki kode departemen SF234204.,"['Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', '11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', '8. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2019 tentang Hak dan Kewajiban Mahasiswa lnstitut Tek:nologi Sepuluh Nopember;\n9. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 24 Tahun 2019 tentang Organisasi dan Tata Kerja Institut Tek:nologi Sepuluh Nopember sebagaimana telah diubah dengan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 30 Tahun 2022 tentang Perubahan atas Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 24 Tahun 2019;\n10. Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 26 Tahun 2019 tentang Organisasi dan Tata Kerja Sekretaris lnstitut, Direktorat, Biro, Kantor, Perpustakaan, dan Unit di Lingkungan Institut Teknologi Sepuluh Nopember sebagaimana telah diubah terakhir dengan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 22 Tahun 2022 tentang Perubahan Kedua Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 26 Tahun 2019;']",Saya tidak tahu.
12,Pada jadwal mana kelas Bahasa Inggris untuk Semester Regular berlangsung?," Kelas Bahasa Inggris untuk Semester Regular berlangsung pada Jum'at, pukul 13.30-15.10.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003']",Saya tidak mengetahui informasi tersebut dalam konteks yang diberikan.
13,Di mana lokasi ruang kelas untuk kelas Pancasila untuk Semester Regular?,"Lokasi ruang kelas untuk kelas Pancasila untuk Semester Regular adalah di Tower 1, Lt. 6, ruang TW1-605.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak tahu.
14,Pada hari dan pukul berapa kelas Fisika 1 untuk Semester IUP diadakan?,"Kelas Fisika 1 untuk Semester IUP diadakan pada hari Selasa dan Kamis, pukul 15.30-17.10.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER']",Saya tidak tahu.
15,Apa kode mata kuliah untuk Bahasa Inggris di Semester IUP?,Kode mata kuliah untuk Bahasa Inggris di Semester IUP adalah UG234914.,"['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER']",Saya tidak tahu.
16,Di lantai mana kuliah Agama Islam di Semester Regular diadakan?,"Kuliah Agama Islam di Semester Regular diadakan di Tower 1, Lt. 5.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER']",Saya tidak tahu.
17,Kapan waktu kuliah Fisika Mekanika di Semester Regular berlangsung?,"Kuliah Fisika Mekanika di Semester Regular berlangsung pada Senin dan Rabu, pukul 15.30-17.10.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak mengetahui jadwal kuliah spesifik untuk mata kuliah Fisika Mekanika di Semester Regular. Anda dapat menghubungi pihak terkait di Institut Teknologi Sepuluh Nopember untuk informasi lebih lanjut mengenai jadwal kuliah tersebut.
18,Berapa jumlah SKS untuk mata kuliah Matematika di Semester IUP? ,Mata kuliah Matematika di Semester IUP memiliki 2 SKS.,"['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'BAB V BENTUK APRESIASI\n\nPasal 8\n(1) Apresiasi Lomba Kementerian dan        Lomba Mandiri bagi dosen Pembimbing kompetisi yang diikuti oleh Mahasiswa yang meraih medali/juara berupa:\na. piagam/ sertifikat atau t.anda jasa;\nb. angka kredit kepegawaian (Kum B) untuk Beban Kerja Dosen (BKD) yang terintegrasi dengan sistem informasi kepegawaian ITS; dan/atau\nc. reward sesuai dengan SBI.\n(2) Apresiasi Lomba Kementerian dan Lomba Mandiri bagi Mahasiswa berupa:\na. reward sesuai dengan SBI;\nb. konversi nilai akademik (SKS) untuk setiap lomba yang diputuskan oleh tim\nreviewer Departemen;\nc. konversi nilai Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) untuk setiap lomba yang diputuskan oleh tim review direktorat yang mengurusi kemahasiswaan;dan/atau\nd. beasiswa Magister di seluruh program studi yang ada di ITS selama waktu\nyang ditentukan.\n(3) Setiap perolehan medali/juara di setiap kompetisi sebagaimana disebutkan dalam Pasal 6 ayat (2) juga mendapatkan apresiasi berupa nominal uang.', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak tahu.
19,Apa hari dan jam kuliah untuk Bahasa Indonesia di Semester IUP?,"Kuliah Bahasa Indonesia di Semester IUP berlangsung pada Kamis, pukul 13.30-15.10.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', '8. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2019 tentang Hak dan Kewajiban Mahasiswa lnstitut Tek:nologi Sepuluh Nopember;\n9. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 24 Tahun 2019 tentang Organisasi dan Tata Kerja Institut Tek:nologi Sepuluh Nopember sebagaimana telah diubah dengan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 30 Tahun 2022 tentang Perubahan atas Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 24 Tahun 2019;\n10. Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 26 Tahun 2019 tentang Organisasi dan Tata Kerja Sekretaris lnstitut, Direktorat, Biro, Kantor, Perpustakaan, dan Unit di Lingkungan Institut Teknologi Sepuluh Nopember sebagaimana telah diubah terakhir dengan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 22 Tahun 2022 tentang Perubahan Kedua Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 26 Tahun 2019;']",Saya tidak mengetahui informasi tersebut.
